epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,9005.89,1.59772,1.17511,0.00523,0.85219,0.87741,0.91533,0.56152,1.37053,0.73263,0.00542,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,9286.29,1.59812,1.15573,0.00525,0.8505,0.88277,0.91771,0.55469,1.3801,0.72259,0.00541,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,9568.52,1.58934,1.15036,0.00524,0.88509,0.85601,0.92656,0.5589,1.37207,0.73653,0.00536,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,9850.29,1.57437,1.14924,0.00517,0.85094,0.86592,0.91928,0.56306,1.33948,0.74227,0.00532,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,10131.3,1.59037,1.13563,0.00519,0.87938,0.86089,0.92337,0.56902,1.3444,0.71555,0.00528,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,10408.8,1.57511,1.13959,0.00509,0.85034,0.8778,0.9236,0.56844,1.34839,0.70638,0.00534,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,10691.9,1.56823,1.12752,0.0051,0.85425,0.85732,0.92158,0.56255,1.36305,0.69849,0.00538,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,10969.3,1.56869,1.11723,0.00511,0.85844,0.88118,0.92946,0.56524,1.35556,0.70297,0.00529,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,11250.5,1.56747,1.10846,0.00512,0.87506,0.87907,0.93436,0.58621,1.32853,0.66218,0.00514,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,11530.4,1.54994,1.08991,0.00504,0.86019,0.86688,0.92637,0.57541,1.33595,0.6782,0.00516,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,11810.6,1.54986,1.09057,0.00499,0.88052,0.87315,0.93222,0.57498,1.33417,0.69683,0.00523,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,12089.5,1.53665,1.08658,0.00496,0.88076,0.88403,0.94241,0.58172,1.33439,0.68096,0.00515,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,12368.6,1.55448,1.06708,0.00499,0.86278,0.88802,0.93192,0.57946,1.34197,0.64744,0.00525,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,12647.8,1.54126,1.0455,0.00495,0.87216,0.88225,0.93329,0.58705,1.31877,0.63827,0.00515,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,12927.5,1.54734,1.06094,0.00497,0.86282,0.89032,0.93565,0.59758,1.29728,0.63583,0.00499,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,13210.4,1.54019,1.06401,0.00492,0.88642,0.88105,0.94254,0.60065,1.2849,0.63684,0.00497,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,13490.6,1.53889,1.05547,0.00495,0.85621,0.90447,0.93806,0.59606,1.30659,0.63977,0.00504,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,288.376,1.50974,1.01143,0.00484,0.87045,0.89684,0.93992,0.59997,1.29985,0.62416,0.00502,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,586.561,1.52571,1.03447,0.00493,0.86403,0.89534,0.93924,0.60108,1.27996,0.62499,0.00494,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,882.613,1.52185,1.02201,0.00494,0.88951,0.90174,0.94257,0.60374,1.28153,0.6123,0.00491,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,1175.83,1.51009,1.01491,0.00484,0.87799,0.89196,0.94001,0.60806,1.28429,0.60888,0.00491,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
